survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alone,group_survival_rate,group_avg_fare,fare_zscore,age_group
0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,False,0.13544668587896252,12.661632564841499,-0.5002397510893574,"(20, 30]"
1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,False,0.967391304347826,106.69375000000001,0.788946607905507,"(30, 40]"
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,True,0.5,16.118809722222224,-0.48664993466069395,"(20, 30]"
1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,False,0.967391304347826,106.69375000000001,0.4228611129909654,"(30, 40]"
0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,True,0.13544668587896252,12.661632564841499,-0.4841333019887193,"(30, 40]"
0,3,male,25.0,0,0,8.4583,Q,Third,man,True,Queenstown,True,0.13544668587896252,12.661632564841499,-0.47591297302898106,"(20, 30]"
0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,True,0.36885245901639346,67.22612704918032,0.39794644953841574,"(50, 60]"
0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,False,0.13544668587896252,12.661632564841499,-0.22190017756895475,"(0, 10]"
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,False,0.5,16.118809722222224,-0.4220570338487224,"(20, 30]"
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,False,0.9210526315789473,21.97012105263158,-0.040787184044554156,"(10, 20]"
1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,False,0.5,16.118809722222224,-0.3099823210880695,"(0, 10]"
1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,True,0.967391304347826,106.69375000000001,-0.11167166653646252,"(50, 60]"
0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,True,0.13544668587896252,12.661632564841499,-0.4841333019887193,"(10, 20]"
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,False,0.13544668587896252,12.661632564841499,-0.016542951535818605,"(30, 40]"
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,True,0.5,16.118809722222224,-0.4880753554061005,"(10, 20]"
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,True,0.9210526315789473,21.97012105263158,-0.32407546405112786,"(50, 60]"
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,False,0.13544668587896252,12.661632564841499,-0.05982903349378355,"(0, 10]"
1,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,True,0.1574074074074074,19.74178240740741,-0.38447464817852084,"(20, 30]"
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,False,0.5,16.118809722222224,-0.28380934129953256,"(30, 40]"
1,3,female,21.5,0,0,7.225,C,Third,woman,False,Cherbourg,True,0.5,16.118809722222224,-0.5007430776237524,"(20, 30]"
0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,True,0.1574074074074074,19.74178240740741,-0.12274485029315124,"(30, 40]"
1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,True,0.1574074074074074,19.74178240740741,-0.38447464817852084,"(30, 40]"
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,True,0.5,16.118809722222224,-0.48455206966533587,"(10, 20]"
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,True,0.36885245901639346,67.22612704918032,0.06851923277692655,"(20, 30]"
0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,False,0.5,16.118809722222224,-0.22190017756895475,"(0, 10]"
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,False,0.5,16.118809722222224,-0.014277982131041355,"(30, 40]"
0,3,male,25.0,0,0,7.225,C,Third,man,True,Cherbourg,True,0.13544668587896252,12.661632564841499,-0.5007430776237524,"(20, 30]"
0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,False,0.36885245901639346,67.22612704918032,4.648790695770894,"(10, 20]"
1,3,female,21.5,0,0,7.8792,Q,Third,woman,False,Queenstown,True,0.5,16.118809722222224,-0.4875720288717055,"(20, 30]"
